,Book_Title,Author,Publisher,Published_Date,ISBN_10,ISBN_13,Page_Count,Average_Rating,Rating_Count,Sale_Country,Sale_Amount,Sale_Currency
218,You Can Heal Your Life,['Louise L. Hay'],ReadHowYouWant.com,2009-12,1458748243,9781458748249,346,4.5,40,,,
219,You Can Heal Your Life,['Louise L. Hay'],Readhowyouwant,2010-04-06,1458750043,9781458750044,404,4.5,36,,,
220,You Can Heal Your Life / Trade,['Louise Hay'],Hay House UK Limited,2017-11,1401955592,9781401955595,253,,,,,
221,You Can Heal Your Life,['Louise Hay'],"Hay House, Inc",1995-03-07,1401922643,9781401922641,272,4,4,,,
222,"You Can Heal Your Life, Companion Book",['Louise Hay'],"Hay House, Inc",2002-01-01,1401933521,9781401933524,,,,,,
223,You Can Heal Your Life,['Louise L. Hay'],,2011,1401924425,9781401924423,253,,,,,
224,"You Can Heal Your Life, Gift Edition",['Louise Hay'],"Hay House, Inc",1999-09-01,1401919359,9781401919351,,3.5,13,,,
226,You Can Heal Your Heart,"['Louise L. Hay', 'David Kessler']",Hay House,2015-02-02,1401943888,9781401943882,216,4,4,,,
227,Life Loves You,"['Louise Hay', 'Robert Holden']","Hay House, Inc",2015-05-05,1401946941,9781401946944,272,,,,,
229,Gabriel Garci ́a Ma ́rquez's One Hundred Years of Solitude,"['Gabriel Garcia Marquez', 'Harold Bloom']",Infobase Publishing,2009-01-01,1438125623,9781438125626,241,1,1,,,
230,One Hundred Years of Solitude - Gabriel Garcia Marquez,['Harold Bloom'],Infobase Publishing,2009-01-01,1438114141,9781438114149,,5,1,,,
231,A Study Guide for Gabriel Garcia Marquez's One Hundred Years of Solitude,"['Gale, Cengage Learning']","Gale, Cengage Learning ",2015-09-15,1410336387,9781410336385,15,,,US,3.99,USD
232,One Hundred Years of Solitude,['Gabriel Garcia Marquez'],Harper Collins,2003-06-24,0060531045,9780060531041,432,3.5,223,,,
233,One Hundred Years of Solitude,"['Gabriel García Márquez', 'Gregory Rabassa']",Pan,1978,0330255592,9780330255592,335,3.5,218,,,
234,Study Guide to One Hundred Years of Solitude by Gabriel Garcia Marquez,['Intelligent Education'],Influence Publishers,2020-02-15,1645421457,9781645421450,162,,,US,5.99,USD
235,One Hundred Years of Solitude,['Mary Ellen Snodgrass'],,1996,0521316928,9780521316927,,,,,,
236,Gabriel García Márquez: One Hundred Years of Solitude,['Michael Wood'],CUP Archive,1990-05-31,2806279623,9782806279620,116,5,1,,,
237,One Hundred Years of Solitude by Gabriel García Marquez (Book Analysis),['Bright Summaries'],BrightSummaries.com,2016-10-12,0195144554,9780195144550,24,,,,,
239,Lolita,['Vladimir Nabokov'],Vintage,2010-08-24,0307744027,9780307744029,336,4,46,US,12.99,USD
240,Vladimir Nabokov's Lolita,"['Ellen Pifer', 'Professor of English and Comparative Literature Ellen Pifer']",Oxford University Press on Demand,2003,0195150333,9780195150339,209,5,2,,,
241,Vladimir Nabokov: 'Lolita',['John Lennard'],Humanities-Ebooks,2008-01-01,1847600972,9781847600974,101,,,US,6.5,USD
242,A Study Guide for Vladimir Nabokov's Lolita,"['Gale, Cengage Learning']","Gale, Cengage Learning ",2015-09-15,1410336158,9781410336156,15,,,US,3.99,USD
243,Lolita,['Vladimir Vladimirovich Nabokov'],Everyman's Library,1992,0307787605,9780307787606,335,5,1,,,
244,Lolita: A Screenplay,['Vladimir Nabokov'],Vintage,2011-02-16,1646932595,9781646932597,240,,,US,11.99,USD
245,Vladimir Nabokov's Lolita,['Harold Bloom'],Chelsea House Publications,1987,0307788083,9780307788085,131,,,,,
